Summary,Text,Score
"Perfect, spacious and surprisingly chic!","Incredibly impressed with this hotel. I stayed in an apartment suite with two bedrooms and it was plenty of space! Love that they had everything we needed in terms of cookware, flatware, etc. I would imagine this would be a great place to stay with children or with a group of 2-3 friends. Especially impressed with the decor of the lobby area and the appliances/design of the bathrooms.",5
THE Place to Stay in Chicago,"What a wonderful place! Our 2 bedroom ""apartment"" was sparkling clean, comfortable, had a terrific shower (something I always judge!), and the most incredible bed and pillows we've experienced. Our covered balcony had table and chairs with a great gas grill. The lobby is great fun and relaxing with pictures depicting the history of Chicago, a wonderful little boutique, a great library, and excellent and accommodating staff. There are some great neighborhood restaurants within walking distance; The Guesthouse is right on the Clark Street bus line; easy also to hail a cab; Andersonville is the perfect location. We have been to Chicago many times, always staying downtown. No more! We will come back to The Guesthouse again and again. Highly recommended.",5
Great local option while staying in Chicago,"We were planning a business meeting in Chicago with people coming in from different cities. Little did we know the dates we chose were during a convention where over 100,000 people were scheduled to be there. We were scrambling to find a place for everyone to stay. The Guesthouse Hotel was recommended by a friend of a friend and did not disappoint. While the location is a little further away from the heart of the city, the amenties and property more than made up for it.",5
Another great stay at the Guesthouse,"This was our second time staying at the Guesthouse. They have expanded and have some additional amenities, including a small fitness center. The apartment was as well maintained as it was at our first visit. The staff is extremely helpful and pleasant to work with. We had a two bedroom unit in the south building which is very spacious. They provided a stroller and a high chair for our grandson. That was a great bonus! Having access to the parking garage is a huge convenience. We highly recommend this facility particularly if you want to be in the north side of Chicago. As someone else mentioned, there can be noise from aircraft flying to O'Hare. We didn't notice this during our first visit so perhaps the flight paths have changed. I always bring ear plugs when I travel so that helped. Obviously, this is not something the management has any control over.",5
Spectacular!!,My friends and I stayed in a 3 bedroom apartment over Labor Day weekend and loved it!! The apartment was well furnished and clean. Looks exactly like the photos. We had everything we needed to make our stay comfortable. We enjoyed making meals and also got to fire up the grill on our I last night. The steam shower in the master suite was awwwesssome!! Could not get enough of it. It especially worked its magic after a long day of doing touristy stuff. The staff was always available and very helpful. The washer and dryer in the apartment was also a plus. Saved us from having to travel with dirty laundry. Will definitely be staying here again.,5
High expectations exceeded!,"We had been to Chicago 4 times and always stayed downtown at fun fancy hotels and then just taken the blue/red lines to the neighborhoods we wanted to see for the day. This time we had an awkward number of people for a hotel (5) so the condo search began. After looking at many options we felt like it was time to mix it up and stay in a neighborhood - and take a train into downtown (if we even felt we needed that!). The booking system was easy and they promptly answered any questions/concerns. We flew into Chicago confident and excited about our stay. Upon arrival the condo was as beautiful, clean, stylish and comfortable as the pictures promised. The staff was attentive, friendly and helpful.",5
Incredible Vacation Rental-style hotel,"Wow, I cannot say enough nice things about this place. We had another rental that did not work out so we were scrambling the day we arrived in Chicago to find a place to sleep 7 adults and three under three year olds. They were the first to answer my phone calls and even though it was higher uptown than we had been looking previously, we had no problem Uber-cabbing to get where we needed to go. Adam at the front desk was incredibly nice and extremely helpful. He went above and beyond his duty for sure. Not only were we amazed at the gorgeous front desk/reception area (wish MY house looked like that!!) but our three bedroom unit was beautifully sleek and modern as well. I knew it was all Ikea, but man they did a spectacular job decorating. Plus the steam shower in the master bedroom was to die for ;) anyway, the exact location is across the street from a beautiful old cemetery and a few blocks south of a fantastic little hip neighborhood. You know you're in a hip area when the bodega sells gluten free items and organic Amy's pizza. Anyway the hotel has 24 hour manned front desk and a plethora of baby amenities (we borrowed a crib, a bouncy chair, a baby play ""station"" and a kit of kids dishes that really came in handy. Oh and a video monitor! They really thought if everything, down to the small ceramic bowls on the nightstands to put your rings on when you go to bed. The only bad thing about the place was a lack of full length mirrors. There was one in the master bedroom that everyone had to share. So that would be my only complaint, big whoop lol. I cannot say enough nice things about this place and would stay here in a heartbeat, thank you so much for making our Chicago weekend amazing!!",5
Good value for family.,"A very good venue for visiting Chicago. The apartments are very well equipped and furnished. They are spacious and spotlessly clean. The location appears a little strange initially being surrounded by car repair workshops, however the neighbourhood is full of excellent restaurants and is an easy bus ride into Central Chicago .",4
Great apartment in Andersonville,"We spent 5 nights at the Guesthouse hotel, in a 2 bed apartment (401). As a family, we loved the space and the fact that the apartment was so well equipped. Access to the roof terrace was a nice benefit, though we didn't use it other than to admire the view of downtown Chicago at night. Front desk staff were helpful and the lack of daily housekeeping services was not an issue, as there were plenty of linens and a very powerful washer and dryer. The only thing that was not completely perfect was the noisy air con, though this was very effective. The beeping sound made by the elevator on arrival was also pretty loud, and could be heard in the master bedroom. But, other than those issues, we had a great stay, and thoroughly enjoyed living like locals in Andersonville.",4
Fantastic stay,"We stayed in one of the 3 bedroom units. We had absolutely everything that we needed in this very comfortable, clean and well designed unit. You truly can "" live like a local"" but help in there at the check-in space if you need it. We have absolutely nothing but good things to say. We found the staff to be generous and helpful. The location is great and public transportation is pretty easy to figure out ( #22 Clark Street Bus)! We had a wonderful time and will stay here again!",3
Superlative,"Our family of 6 thoroughly enjoyed this spacious spectacular condo for 5 days. The classic Chicago shotgun hallway ended into a master bedroom with a gorgeous master bath that included a steam shower. The other full bath was more than adequate for our 4 kids. The Jenn Air appliances and Best range hood along with a generous supply of cooking utensils permits gourmet cooking (a Treasure Island and Whole Foods are an easy drive away). The grill worked great too. The Lawrence El stop is easily walkable as are the many restaurants in Andersonville. Plenty that deliver too! Service was very attentive and helpful. When we needed a different garage to accommodate our rooftop car carrier, they made the switch without hesitation. I could not say enough good things about it --for any family so large as to require 2 hotel rooms this is a no brainer -- stay here, you'll be ecstatic you did.",5
Great alternative to downtown,We visited our son in Chicago and this hotel was about a mile form his apartment. The location is on Clark Street at the southern end of Andersonville in an area which appears to be undergoing restoration and development. We had a two-bedroom suite complete with kitchen and a small balcony overlooking the back. Everything appears brand new (hope they keep it that way) with all the amenities you want and quite high tech. The only drawback is don't plan a sit down dinner party as there is no dining table just four stools at the bar. But you will probably spend your time out and about including the many bars and restaurants in Andersonville. There are also some nice grocery and specialty food stores as well. The hotel also provides for a fee parking garages in the back. They give you a garage door opener so you can come and go as you please. We just left our car there and hopped on the 22 bus which stopped right outside.,5
Great Accommodation for a large group or family,"The condo was awesome! It was spacious and great for a large group or family. The furniture and decor is modern and the kitchen is well equipped with everything you need with a starter supply of coffee, cream, toilet paper, paper towels and washer detergent. Linens and towels were more than enough so we didn't have to call for replacements during the week we stayed at the Guesthouse. The unit was very clean and the sauna shower in the master bath was amazing.",4
Chicago Vacation,"Very much enjoyed our stay at The Guesthouse Hotel. Rooms were far more than what we were expecting, very spacious, beds were incredibly soft, kitchen was nicely appointed, and I enjoyed sitting on the deck each morning listening to the city wake up and get moving. Front desk people were amazing, one even went and found a cheese grater for us when we asked. Very helpful in ideas for how to see and get around the city.",5
Great Alternative to chain hotels,"Our party of four people spent a week at the Guesthouse Hotel in August 2014. What a great place to stay. We had a two bedroom suite which was very clean and spacious with a full kitchen, washer/dryer, two bedrooms and two bathrooms with contemporary furniture and hardwood floors. This is a great value for larger parties compared to chain hotels which do not have the floor space to accommodate everyone, nor the amenities and parking that come with this package. It's in a nice neighborhood with great restaurants, an upscale grocery store (Marianno's), a small boutique shops. Also, easy access to downtown Chicago. I recommend this hotel without qualification.",5
"Happy to ""live like a local""","We enjoyed the space, amenities and the cleanliness. Proximity to public transport, restaurants, specialty shops and grocery stores is excellent. The secure parking for our vehicle and general good value for money was appreciated. The noise from other tenants on two nights did detract from the general tranquility of the suite. We saw that the management dealt with the problem by posting signage about quiet time. Potential customers need to understand that the location is very urban and therefore street noise is part of the package. The decor and finishing touches are beautiful, the lobby with its library and relaxation space is second to none.",5
The Guesthouse Hotel,"The rooms were nice, new and clean. We enjoyed sitting on the balcony at night and even used the gas grill out there once. The location is good, near restaurants and you can walk to the L. Staff was friendly and helpful. We would definitely stay here again.",5
Up On The Roof,"When you stay on the 4th floor, you are afforded access to the roof.From the roof you can get a 360 degree view of the skyline. From the front roof you can get a view of the cemetery. The staff was universally friendly, the rooms were well appointed and clean. This hotel is close to quite a few good restaurants and bars. Anything that isn't close is accessible by great public transportation. I have only one complaint which is not a fault of the hotel but I wish they could have dome something about it. There was a room with Adult women and teenage girls next door. There was a great deal of running around and opening and closing of doors. The noise detracted from the classy experience.",5
Great place to stay,"We spend five nights during July 2014 in room 410. It was really a pleasant place to stay with plenty of space in a nice neighborhood accessible to public transportation. It would have been perfect if it were just a bit closer to the Loop. I think it took us 20-30 minutes to get to the Loop depending if we walked to the L or got a bus. The hotel is wonderful, though.",5
Tenant noise,"Great overall stay except the party noise. The rules state that loudness should be tempered after 9:00 pm. This did not happen 3 of the 4 nights. In fact, we had very little sleep for 3 full nights. Partying with ""Boom Boxes"" etc etc on the roof top and unit next to us was crazy. Our unit SHOOK the last night. We continually contacted the front desk ? The front desk agreed it was not allowed and would take care of the situation. However , Our last night was the worst. The noise lasted nearly all night.",4
perfect pet friendly place,"loved our stay and will definitely be back. the other reviews are spot on ... this place has it all! space, clean, beautifully appointed, great location, comfortable beds, nice staff ....",5
Awesome condo in great location,"This was a great spot to explore Chicago. The neighborhood of Andersonville is very trendy, with lots of shops and eateries. It is close to the Redline El station - about a half mile, which takes you right into downtown. Cub stadium is 1.5 miles, so another easy walk. The beach is about a mile away and a great spot for walkers and runners.",5
"""Live like a local"" is right","You won't find a more authentic Chicago experience than The Guesthouse. Unlike the downtown and Michigan Avenue hotels, you're in a real neighborhood…an up and comer called Andersonville, with trendy bars and a nice assortment of eateries. The rooms are all suites and are spacious and incredibly well equipped with full-service appliances and accessories. Both in the public rooms and in the suites, the decor is stylish and beautiful. If you have a multi-night stay in Chicago in your future and want spacious accommodations, this is the place for you.",5
The perfect Chicago holiday,"I recently stayed in The Guesthouse Hotel, based on other reviews I'd read on Trip Advisor. It definitely lived up to its glowing reviews. The apartments are stunning, very clean and comfortable, the staff were friendly and helpful, and Andersonville is a lovely neighbourhood away from the tourist traps of downtown. The Mariano's supermarket a couple of blocks away is amazing, are there are plenty of great restaurants, cafes and gift shops nearby.",5
Loved it!,"I stayed here for 4 nights. I live in the suburbs of Chicago and often like to spend time in the city. The staff was fabulous, the apt. was well equipped, close to markets, transportation, and really pet friendly.",5
Great Stay,"This property is as beautiful as the pictures show. The neighborhood is also decent, although maybe not quite as lively as Lincoln Park or somewhere a bit more central. It's walkable from Wrigley Field (little under 2 miles), and parking is available, although it's around $23 per night. We stayed for a long weekend (6 adults in a three bedroom/two bath), and we found it to be very enjoyable.",4
THE best place to stay in Chicago!,"The Guesthouse Hotel, compared with other hotels in Chicago, gives you the best value for your money. We are a family of four, who stayed comfortably in this hotel that was more like an apartment. One of the many things I loved about The Guesthouse was having our own kitchen to have breakfast before we left the hotel for the day. Not only did we save money that way, it's also much easier when you have children traveling with you. The staff was very courteous and friendly. We absolutely loved our stay at The Guesthouse Hotel!",5
Our second stay at the Guesthouse,"Truly a home away from home whilst visiting family in Andersonville,where we indeed ""lived like locals"".The units are very well appointed and maintained with all facilities of home including a balcony with gas BBQ.",5
The ONLY Place to Stay While Visiting Chicago,"We have stayed twice at The Guesthouse and are heading to Chicago for our third stay next month. We travel extensively, and The Guesthouse is one of the best accommodations that we've found anywhere in the country. The units are beautifully appointed with the highest quality furnishings and linens; there is a washer and dryer; the kitchens are stocked with everything you need to make dinner for your family and friends; and, the location is beyond ideal. Add to all of this the fact that the entire staff is so friendly, helpful and easy to work with and I simply can't imagine a better place to stay. The Guesthouse should start a consulting business to teach other hotels how to do it!",5
"Their slogan ""Live Like a Local"" really sums it up!","Great location in the Andersonville Neighborhood and out of the crazy regular tourist trap of downtown. This hotel really makes you feel like home. The space is well designed and the staff is very friendly. The hotel has 1, 2 and 3 bedrooms available all with a full kitchen. They are also connect to a spa called Revive which is very convenient for a relaxing day!",5
Amazing accommodations,"We stayed here for four nights with relatives visiting from Australia. We had a two bedroom suite. The apartment was beautifully decorated and incredibly spacious. The hotel is close to both the bus and train, and other amenities. We will definitely stay here again. Down the street are many restaurants. I would recommend The Hopleaf.",5
Well appointed and comfortable,"The guesthouse was a most pleasant surprise in being clean, accommodating, and fully appointed to meet our needs.. The beds and linen were superb. The split floor plan was perfect. The staff was top notch. We will suggest to others and most definitely return.",5
What a great find!!,"We stayed in a beautiful 2 bedroom condo for a week recently and was blown away by the upscale appointments, comfortable bedding and friendly staff! The price is the same as a downtown hotel, so this is a no brainer!",5
Exceeded expectations!,We rented a 3 bedroom for our wedding during Pride weekend and were amazed at the size of the apartment...the hall down to the master bedroom seemed a quarter block long! It was very clean and well-appointed. Very nice décor with comfortable furniture and great appliances.,5
Fabulous Facility,"I just spent 10 days at the Guesthouse hotel with my daughter and my toy poodle, it was amazing! The rooms are beautiful, spacious, and fully stocked. The staff made sure that my entire customer experience was pleasant from beginning to end. My daughter has several special needs, the staff exceeded every one of them, AND they did it with kindness, consideration, and a smile. This place is exceptional! They make you feel like they appreciate your business and that they enjoy having you there, that's a BIG deal! No question - we will stay here on our next visit to Chicago. Thank you Rick, Shelly, and the entire Guesthouse staff. Your fabulous facility, and ""top notch"" Customer Service helped to make our vacation an unforgetable time that I will always cherish.",5
"We are currently staying at the Guest House. My daughter had a major surgery at Rush and we needed to stay somewhere while she recovered until our trip home to SC. Armond brought her beads from the gay pride parade that she wanted to attend but could not, and they just delivered a half a dozen long stem sunflowers, from the staff at The Guest House. The accommodations are exceptional and although we have no family here they have treated us as such. It has been a blessing to find such wonderful people at a beautiful ""hotel"".",,5
Maiden voyage :-) !!!,"Our first stay at the Guest House was wonderful! I made numerous phone calls with questions for our stay. Rick was always extremely helpful, from telling us about Mariano's grocery to where was the closest drop for our rental car....",5
Awesome,Perfect for me and all my friends. Clean new and in a great spot. TV with surround sound. Large rooms with lots of closet space. The managers were nice and willing to work with you. Don't see why you would want to stay anywhere else in Chicago besides the guesthouse.,5
"Quiet, Beautiful Room",My office is in Ravenswood and I initially picked The Guesthouse Hotel due to it's location. I was very pleasantly surprised at my stay.,5
New Hotel is Fabulous!,My first stay at the Guest House was about a year ago. How things have changed! Including the Name! The GuestHouse Hotel is now expanded to double it's size. The just opened beautiful lobby is appointed with awesome black and white mixed with color photo's and art work of the city of Chicago. Walk over to the check in area and you are greeted by a friendly and extremely helpful staff.,5
"Like having your own place in the city, without all the additional cost","We only stayed for one night, but we will be back. Location was great for City activities. We went to Maestros. Location also works well for activities in the Burbs, we golfed at Chicago Highlands. The unit was brand new with great design features and everything you need for a weekend or longer stay. The service was great, parking was secure and convenient. The lobby is hard to describe, but to say you have to see it and you will not be dissapointed.",5
Great Place to Stay in Chicago!,"We came to Chicago for my nephew's wedding weekend. We were so pleased to stay in a beautiful condo! What a wonderful change from an ordinary hotel. You are pleasantly greeted as you step into the beautiful lobby by the great staff. We had plenty of room to spread out, 2 bathrooms, spacious kitchen to prepare food and room to visit with other family members also staying there. The condos are gorgeous, comfortable and even offer a gas grill on your personal deck. There is a washer and dryer for longer stays and the kitchen is well equipped for relaxing and 'eating in'. A short walk takes you to the Red Line to access Chicago activities, as well as, Andersonville offers many shops, restaurants and bars within walking distance. On site parking garages made us happy to avoid parking on the street. We recommend anyone staying a weekend or a couple of weeks to visit the Guesthouse Hotel - it's not your ordinary hotel. It's a home away from home!",5
Great find!,"I recently traveled to Chicago from out of state and stayed at the Guesthouse Hotel. I was extremely impressed by the elegance and detail found in the lobby upon checking in. Everyone I came into contact with, especially the General Manager, Rick, was very polite and helpful. I stayed in a 2 bedroom with a deck and it felt as if I were staying in my own home, versus a hotel room. The furnishings were modern and aesthetically pleasing, and the entire place was extremely clean. It was wonderful to have a kitchen with all necessary items to cook, in order to eat some meals there. The location was fantastic... a short walk to the Red Line el, not far from the lakefront, and close to great restaurants and shops in Andersonville. Highly recommend this property!",5
Wedding Weekend Fun,"A destination wedding brought our family to downtown Chicago for a long weekend. We were pleasantly surprised to find out we were staying at the Guesthouse properties. What an entrance! The lobby welcomes you in with beautiful decor, friendly helpful staff and even had a personal touch added for the wedding activities. Upon entering our condo we were greeted again with stunning decor. Hardwood floors, granite countertops and stainless steel appliances in the fully stocked kitchen, modern furniture in the living space and a private balcony complete with a table and chairs and Weber grill provided outdoor relaxation after the days activities. Spacious bedrooms with amazing bathrooms provided plenty of room for our family of four. Walk in closets with dressers (master) and built in shelves (second) were an added bonus! The washer and dryer allowed us to tackle some of our laundry on an as needed basis. Being walking distance from wonderful local shops and eateries in Andersonville provided options if we weren't using the kitchen or going into the city. And the Red Line being a few blocks away made it easy to get to Wrigley, Shed Aquarium and Michigan Avenue. Having a parking space included was another bonus having driven in from out of state. We're already telling people about this property and will continue to do so! The staff and accommodations made our weekend that much better knowing all the bases were covered. Definitely a must see!",5
Son's Festive Wedding Weekend,My son's Chicago destination wedding brought ten family members together from four states.,5
"Boutique hotel, vacation rentals merge for an outstanding experience","The Guesthouse Hotel in the historic Andersonville neighborhood of Chicago provided us with a unique blend of vacation rental and boutique hotel, the first time we'd encountered such a delightful combination. Owners David and Simona Krug, who we met early on, began with 10 units, originally designed as luxury condominiums at 4866 N. Clark, and they just finished an addition that ups the total to 25.",5
Truly Unique and Special Expierence,"We had the pleasure of being one of the first guests in the new addition to The Guesthouse this weekend, and it surpassed all expectations! The lobby was stunning, modern, and welcoming, and our 2 bedroom suite was just as amazing. The suite makes you feel just as comfortable as being at home, which most hotels cannot provide. It was very private, and the onsite parking was convenient and made getting around easy. The suite was beautifully decorated, and included a full kitchen, patio, and grill. It was spotless. The staff was friendly, and Rick, the manager, went out of his way to make sure we had everything we needed.",5
"We had the pleasure of being one of the first guests in the new addition to The Guesthouse this weekend, and it surpassed all expectations! The lobby was stunning, modern, and welcoming, and our 2 bedroom suite was just as amazing. The suite makes you feel just as comfortable as being at home, which most hotels cannot provide. It was very private, and the onsite parking was convenient and made getting around easy. The Guesthouse thinks of everything you need to start your trip, and provides suggestions for local shops and restaurants where you can find everything else you may need. I can't recommend The Guesthouse enough! We had a truly unique and excellent experience! Can't wait to go back!",,5
Comfortable home base for exploring Chicago,"We had a really nice 2 bedroom suite with a spacious living room and a well-equipped kitchen. And a grill outside (for when the notorious Chicago weather allows it)! Friendly and helpful staff. The place was spotlessly clean. Perfect location -- Andersonville has many nice restaurants in walking distance, and two grocery stores, too. One of the grocery stores has a piano bar! Reasonable walk to CTA train. Great place for a family visit to the big city.",5
A great value,"If you have never stayed in a suite while traveling with family or another group, you are in for a nice surprise at the Guesthouse Hotel. Grabbing some food for breakfasts and picnic lunches at a nearby supermarket lets you easily meet individual dietary requirements and personal food preferences, something that is a challenge in restaurants. And it saves a LOT on dining out, making the Guesthouse Hotel a great value. Our unit was very well-supplied with kitchen utensils and pots and pans – we even made an apple cobbler dessert to go with our grilled steak dinner. We had a ground-floor 2 bedroom suite with patio that is apparently a little smaller than some of the other units, but it was still very roomy, and the kitchen was as big as our kitchen at home. The Guesthouse is decorated in an elegant, minimalist style that makes it a stress-free refuge from the wonders of Chicago. I love getting a birds-eye view of the Northside neighborhoods from the Red Line EL train to the Loop. I would definitely return to the Guesthouse Hotel, and I recommend it whole-heartedly to all.",5
Fantastic!,"Thank you Rick and staff for an amazing experience for my business team. From booking, to arrival and then departure, we were well taken care of by the team at the Guesthouse. We appreciated all of the extra steps you took to make it easy for us to conduct business but also have a relaxing stay. The accommodations were not only beautiful, but also comfortable. We loved having the amenities of home (washer, dryer, full kitchen, and fireplace) as well of the convenience of city living. This is a gem for not only the Uptown neighborhood, but for Chicago as well. Hands down, the Guesthouse is our preferred Chicago hotel!",5
Truly live like a local - with LOTS of room!,"Very spacious accommodations in a fantastic, walkable neighborhood. The Guesthouse Hotel in Andersonville has massive, condo-like apartments which are perfectly appointed for a comfortable, extended stay. The staff is extremely helpful with lots of good tips on how to really live like a local in the fun neighborhood. The steam sauna function in the shower is amazing!!",5
Great place to stay,We booked this after seeing it on internet. You dread arriving and it is nothing like the pictures. This most definetly is not the case at the Guesthouse. We had a 3 bedroomed apartment which was large. spacious and really well equipped. The staff are wonderfully helpful.,5
Perfect family vacation headquarters,"Loved staying at The Guesthouse! Excellent location away from the hustle and bustle while only a 15 min drive to everything. Great shops and restaurants a short walk away. Plenty of space for our family of 5 to spread out with beautiful finishes. Used the grill out on the deck most nights. Best part was the service. We arranged for Peapod grocery delivery and didn't arrive on time to receive it. The staff received our groceries and put everything in the unit for us. After a 6 hour drive, arriving to a fully stocked refrigerator (with 3 kids) was a small miracle...thank you! Would stay here again without hesitation!",5
We love The Guesthouse Hotel,"We've been making the Guesthouse our home away from home for the past three years. Our daughter was married last year and family and friends just about filled the place! Daughter #2 is getting married in September and we'll all be there again. It's the perfect location, indoor parking, great kitchen and lot's of light! And I can't wait for the new workout room. We love The Guesthouse Hotel!",5
Excellent place to stay!,"This is our second time staying at the Guesthouse Hotel. The staff is very accomodating and the rooms are luxurious and very clean. The hotel is in the heart of the thriving Andersonville and still only a short cab ride to downtown Chicago. We were able to easily fit our family of six in the three bedroom apartment, and the kitchen is a wonderful addition to cook some meals at ""home."" The free indoor parking is a huge bonus too! I would highly recommend staying here!",5
A steal!,"I took a film crew to Chicago to shoot a tv pilot and we wanted a lot of things: Free indoor parking, good wifi, a clean large space with lots of light and to be left alone to our own devices. The staff at the AGH were fantastic, always kind and very accomidating. We'll definitely stay again! We looked a lot at other places and so glad we chose this place. -yesplustv",5
Beautiful place to live like a Chicago local!,"Our stay at the Guesthouse was fantastic! The staff is accommodating and friendly, the building and rooms are immaculate, well-maintained and luxurious. The fully equipped kitchen has all the latest Jenn-Air appliances, granite countertops and incredible lighting, but if you prefer to ""grill out"" the stainless steel barbeque has lots of capacity! The great room allows you to hang out in front of the fireplace while you watch the large flatscreen tv or chill on the expansive deck outside.",5
Christmas family gathering,"This is to confirm the rave reviews for the Andersonville Guesthouse Hotel. Our family of six shared a 3-bedroom apartment over Christmas that was spacious, spotless, and very well managed. We enjoyed shopping in the diverse array of stores in the immediate neighborhood (especially the Swedish bakery), baked cookies and bread in the well-equipped kitchen, and even hosted an extended family gathering. The management kindly provided a gift of champagne and excellent chocolates! I've stayed in many vacation rental apartments, and this one was hands down the most pleasant and professionally managed.",5
What a grand experience,"Chicago is one of the great cities of the world. So much flavor, so many neighborhoods, such a distinct personality. Recently revisited Chicago, stayed in a ""neighborhood,"" the up-and-coming Andersonville. Andersonville Guesthouse? How cool. Here's the bottom line: A flavorful, textured n'hood, filled with cool stores (from 1-10) and amazing eateries; nicest people I've met, at any given venue, in years; and the Guesthouse? OK, here's the deal (from someone who rents apts. around the world): Huge space, nicely appointed, anything and everything you could want is there, from soap, etc., to culinary implements that I no longer possess at home; management is beyond wonderful, certainly world-class but more than that; no intrusiveness, which is important to me, but one is aware of ""caring"" from the management if one should need it; every single person with whom I dealt, from the Guesthouse to any and every shop or cafe or restaurant which I visited, was dear/amazing/lovely/stunning. Is this an accident? No. So, I return to the Andersonville Guesthouse, which starts the tour, advance to the n'hood with its amazing stores and eateries. I am left with this query: Am I imagining this?",5
Fabulous Find in Chicago!,"Our family takes a 4-5 day trip each year to a different MLB ballpark and in 2013 we descended on Chicago. We are always looking for something more than ""just a hotel,"" somewhere where we can cook together, play cards and just get all 16 of us together in the same room.",4
accommodating and comfortable,"I hosted 6 friends from college here in late July. We go to a different city each summer and we all agreed this was the top place we've stayed over the years. The general manager, Rick Verkler, from the beginning of my inquiry, communicated fully and quickly to questions. Once we got there, he helped us figure out transportation, restaurants, and other tips to help us have a great trip. There is room for one car to park (garaged); the place is right on the Clark 22 bus, and less than half a mile from the Red Line subway/el (which takes you downtown). Both are fast and safe. You are also fairly close to Wrigley Field (also on Clark Street). Andersonville feels like a neighborhood, which is a great way to explore Chicago, where neighborhoods are a key feature. We had originally wanted to stay in the Loop, but are really glad that didn't work out, as this place was perfect. I recommend a unit on the top floor, as you have some nice views. There is no pool and no fitness room, not that we had time for those, since we were so busy exploring Chicago!",5
"Could be perfect, but is flawed.","Previous reviews have properly praised the great features of Andersonville Guesthouse (""AG""). I endorse the high praise for the excellent features of accommodations. But I also have several criticisms ...",3
Andersonville Guesthouse Delivers Yet Again,"David & Simona,",5
Family Gathering,"Our July 2013 stay at the Anderson Guesthouse was wonderful!. We traveled from three states and met our adult children in Chicago. The Andersonville location proved to be an excellent choice! Our 3 bedroom- 2 bath apartment was spacious with a clean, contemporary kitchen, newer appliances, pleasant deck, lovely furnishings, and super clean bathrooms. The tiled, large master shower was awesome! Lake Michigan was a 1.5 mile walk (one way) each morning- and then we treated ourselves to Ann Sathers famous cinnamon rolls and coffee on the deck. We took the Red line train (public transportation) to downtown Michigan Ave, enjoyed an excellent meal at Reza's- Andersonville Persian restaurant- (an easy walk from the Guesthouse), and loved the numerous eclectic shops along Clark Street! There's even a food cart just a block away serving fresh tacos for $2.00- we bought a few everyday and they were delicious. We cooked several evening meals at the apartment and the kitchen was stocked with everything we needed! Our 22 mos old grandson napped comfortably in the crib we requested.We were extremely happy with our time at the Anderson Guesthouse. The Andersonville neighborhood is delightful and lively- a fun place to explore!",5
Luxurious and spacious!,"We stayed in a very spacious 3-bedroom 2-bath unit that was comfortable, spotless, and well-appointed. The reservations process was a breeze and customer service is top-notch. Amenities include a balcony with seating, washer/dryer, garage parking, and a fully equipped kitchen. Andersonville is a lovely neighborhood with plenty of bar, restaurant, and shopping (grocery and other) destinations in easy walking distance. As a bonus there is a bus stop right outside the building that can get you downtown or connect you to the El with relative ease. Andersonville Guesthouse is a lovely respite away from the hustle and bustle of the big city. We would definitely stay here again!",5
As good as it gets!,Stayed here for 4 nights in June 2013 as part of a group of 3 couples and our own 14 month old son.,4
Summary,Text,Score
Another stellar weekend vaca!,"Love the Guesthouse - it is our go to spot in Chicago! Rick and the staff always make us feel right at home from the moment we walk in until the minute we check out. Comfy rooms, cozy wonderful beds, all the amenities you need in a nicely stocked kitchen, room to visit and enjoy time with family. We love the convenience and access to the Andersonville and Lincoln Square neighborhoods. There are several great coffee shops, restaurants, and wonderful shops near by and within walking distance. A new add right next door was Pick Me Up Cafe - a nice add to the neighborhood. We look forward to our next visit - it is already in the books!!",5
I finally have a wonderful place to stay that is truly dog friendly!,"I can’t say enough about The Guesthouse. Wonderful staff, beautiful spaces, great sheets and pillows, balcony with a view and my Greyhounds are welcome and comfortable:) I will most definitely be back!",5
Wonderful place to stay,"Great location, suites and staff were wonderful as well! Our dinner event space and coordination with caterer was handled so well by the hotel staff. Perfect! Only place we’ll book for Chicago going forward!",5
Rude staff,Not a welcoming environment or experience! Staff behavior was rude and condescending. Desk staff demanded Identification for everyone in our group; insisting that we couldn’t proceed because our last group member was still bringing in her luggage. Although only one room key was given. Desk staff then proceeded to tell us that we needed to just “drink our wine and relax” for the evening as this is a quite rental. I have never been received like this by any hotel or resort I have ever stayed in. Although our accommodations were acceptable the staff was not!,1
Amazing hotel outside of downtown with all the amenities of home and very friendly staff!,"This place is amazing! Big thank you to Zoe, Paul, and Rick for all of their help during my stay! Very clean, and a home away from home. More like a condo than a hotel! Highly recommended and will definitely stay here again!",5
Absolutely Perfect for Long Term Stay!,"We often travel to Chicago/Andersonville to visit family, and over the years the Guesthouse has become our favorite hotel. In November we needed a place to stay for a full month during the COVID-19 lockdown. The Guesthouse became our oasis from the stresses of quarantining outside our family bubble. When we arrived, our apartment is spotless, as always. We love the spaciousness of the floor plan and the high ceilings. The shower in the master bath was luxurious -- five-star spa quality. The kitchen was fully equipped so that we could comfortably prepare and enjoy great meals for ourselves and also cook for our extended family. The grill on the deck was a bonus. I was able to reserve hour-long workout times in the downstairs exercise room, and I was also able to book the elegant library for Zoom meetings. The apartment is so quiet that you never know you’re in a lively urban setting. We loved having a reserved parking space in the garage, which was even equipped with an EV charger. The staff could not have been more helpful, attended our every need with great cheer. The Guesthouse tagline -- ""Live like a local""-- is spot on, and we hope to return again and again.",5
